編,章,種類,名前,知の指定,考の指定,関連問題,回数,正解数,最終実施日,コメント
力学,1,基本例題,基本例題1 平均の速さと瞬間の速さ,1,0,,0,0,,
力学,1,基本問題,基本問題1 平均の速さ,0,1,,0,0,,
力学,1,応用問題,応用問題17 速度の分解,0,1,,0,0,,
力学,1,基本例題,基本例題2 速度の合成,1,0,,0,0,,
力学,1,基本問題,基本問題2 等速直線運動のグラフ,0,1,,0,0,,
力学,1,応用問題,応用問題18 等加速度直線運動,0,1,,0,0,,
力学,1,基本例題,基本例題3 相対速度,1,0,,0,0,,
力学,1,基本問題,基本問題3 平均の速さと瞬間の速さ,0,1,,0,0,,
力学,1,応用問題,応用問題19 等加速度直線運動,0,1,,0,0,,
力学,1,基本例題,基本例題4 等加速度直線運動,1,0,,0,0,,
力学,1,基本問題,基本問題4 速度の合成,0,1,,0,0,,
力学,1,応用問題,応用問題20 等加速度直線運動のグラフ,0,1,,0,0,,
力学,1,基本例題,基本例題5 等加速度直線運動のグラフ,1,0,,0,0,,
力学,1,基本問題,基本問題5 速度の合成,0,1,,0,0,,
力学,1,応用問題,応用問題21 等加速度直線運動のグラフ,0,1,,0,0,,
力学,1,基本問題,基本問題6 速度の分解,0,1,,0,0,,
力学,1,基本問題,基本問題7 相対速度,0,1,,0,0,,
力学,1,基本問題,基本問題8 相対速度,0,1,,0,0,,
力学,1,基本問題,基本問題9 相対速度,0,1,,0,0,,
力学,1,基本問題,基本問題10 運動の分析,0,1,,0,0,,
力学,1,基本問題,基本問題11 加速度,0,1,,0,0,,
力学,1,基本問題,基本問題12 平均の加速度,0,1,,0,0,,
力学,1,基本問題,基本問題13 等加速度直線運動,0,1,,0,0,,
力学,1,基本問題,基本問題14 等加速度直線運動,0,1,,0,0,,
力学,1,基本問題,基本問題15 等加速度直線運動のグラフ,0,1,,0,0,,
力学,1,基本問題,基本問題16 等加速度直線運動のグラフ,0,1,,0,0,,
力学,2,基本例題,基本例題6 自由落下,1,0,,0,0,,
力学,2,基本問題,基本問題22 自由落下,0,1,,0,0,,
力学,2,応用問題,応用問題38 自由落下と鉛直投げ上げ,0,1,,0,0,,
力学,2,基本例題,基本例題7 鉛直投げ上げ,1,0,,0,0,,
力学,2,基本問題,基本問題23 自由落下,0,1,,0,0,,
力学,2,応用問題,応用問題39 水平投射,0,1,,0,0,,
力学,2,基本例題,基本例題8 水平投射,1,0,,0,0,,
力学,2,基本問題,基本問題24 自由落下,0,1,,0,0,,
力学,2,応用問題,応用問題40 水平投射,0,1,,0,0,,
力学,2,基本例題,基本例題9 斜方投射,1,0,,0,0,,
力学,2,基本問題,基本問題25 鉛直投げ下ろし,0,1,,0,0,,
力学,2,応用問題,応用問題41 斜方投射,0,1,,0,0,,
力学,2,基本問題,基本問題26 鉛直投げ下ろし,0,1,,0,0,,
力学,2,応用問題,応用問題42 斜方投射,0,1,,0,0,,
力学,2,基本問題,基本問題27 鉛直投げ上げ,0,1,,0,0,,
力学,2,応用問題,応用問題43 自由落下と斜方投射,0,1,,0,0,,
力学,2,基本問題,基本問題28 鉛直投げ上げ,0,1,,0,0,,
力学,2,応用問題,応用問題44 斜方投射,0,1,,0,0,,
力学,2,基本問題,基本問題29 鉛直投げ上げ,0,1,,0,0,,
力学,2,基本問題,基本問題30 自由落下と鉛直投げ下ろし,0,1,,0,0,,
力学,2,基本問題,基本問題31 水平投射,0,1,,0,0,,
力学,2,基本問題,基本問題32 水平投射,0,1,,0,0,,
力学,2,基本問題,基本問題33 水平投射,0,1,,0,0,,
力学,2,基本問題,基本問題34 斜方投射,0,1,,0,0,,
力学,2,基本問題,基本問題35 斜方投射,0,1,,0,0,,
力学,2,基本問題,基本問題36 斜方投射,0,1,,0,0,,
力学,2,基本問題,基本問題37 走る台車からの投射,0,1,,0,0,,
力学,3,基本例題,基本例題10 力の合成,1,0,,0,0,,
力学,3,基本問題,基本問題45 力の分解,0,1,,0,0,,
力学,3,応用問題,応用問題61 力のつりあい,0,1,,0,0,,
力学,3,基本例題,基本例題11 力のつりあい,1,0,,0,0,,
力学,3,基本問題,基本問題46 力の成分,0,1,,0,0,,
